Type,Value
Address,190.110.229.13
Address,107.9.57.100
Address,154.0.1.1
Address,141.94.28.71
Address,179.63.54.252
Address,176.65.139.19
Address,159.89.168.136
Address,46.4.85.81
Address,166.108.203.165
Address,103.167.91.247
Address,164.52.24.187
Address,210.212.49.51
Address,45.144.212.221
Address,139.19.117.131
Address,111.9.101.246
Address,120.157.192.180
Address,120.157.243.185
Address,120.48.148.216
Address,103.215.216.7
Address,209.141.57.116
Address,205.185.124.24
Address,209.141.37.254
Address,198.98.61.155
Address,198.98.53.163
Address,198.98.50.218
Address,45.61.187.124
Address,135.125.241.45
Address,51.222.96.108
Address,85.239.53.66
Address,112.175.184.4
Address,111.92.189.12
Address,59.25.184.83
Address,51.158.21.1
Address,184.168.108.207
Address,183.111.174.97
Address,183.111.174.34
Address,183.111.182.195
Address,183.111.161.96
Address,75.99.59.205
Address,75.83.18.243
Address,65.93.253.98
Address,91.224.92.99
Address,176.65.148.221
Address,176.65.148.175
Address,203.130.11.181
Address,165.232.121.140
Address,159.65.205.146
Address,212.22.86.82
Address,116.110.157.135
Address,193.32.162.172
Address,196.251.72.26
Address,88.218.193.156
Address,36.90.226.71
Address,64.62.156.162
Address,64.62.156.71
Address,65.49.1.109
Address,64.62.156.218
Address,91.224.92.14
Address,196.251.72.128
Address,196.251.84.253
Address,176.65.148.147
Address,77.90.185.47
Address,87.121.84.42
Address,87.121.84.168
Address,199.195.253.156
Address,38.135.24.31
Address,185.40.4.132
Address,45.90.185.103
Address,45.138.16.69
Address,206.166.251.193
Address,178.17.174.164
Address,45.132.246.245
Address,185.107.57.65
Address,91.206.169.87
Address,188.68.49.235
Address,5.253.247.27
Address,185.40.4.101
Address,185.220.101.102
Address,206.237.3.150
Address,149.104.23.176
Address,103.30.76.91
Address,43.247.135.106
Address,171.243.151.237
Address,165.154.10.165
Address,161.35.79.107
Address,187.170.77.37
Address,196.251.80.241
Address,46.101.98.172
Address,45.227.254.113
Address,185.77.225.174
Address,180.254.155.227
Address,20.207.197.237
Address,180.254.147.16
Address,118.97.151.34
Address,104.129.137.162
Address,96.67.212.83
Address,23.120.100.230
Address,31.206.51.194
Address,176.65.148.169
Address,65.49.1.186
Address,65.49.1.83
Address,204.76.203.42
Address,80.94.95.222
Address,45.148.10.190
Address,64.62.156.122
Address,91.196.152.92
Address,65.49.1.165
Address,64.62.156.20
Address,65.49.1.13
Address,65.49.1.19
Address,64.62.156.169
Address,65.49.1.37
Address,45.135.232.125
Address,88.218.193.157
Address,77.90.185.106
Address,65.49.1.96
Address,204.76.203.61
Address,64.62.156.194
Address,65.49.1.173
Address,64.62.156.204
Address,64.62.156.50
Address,196.251.80.177
Address,196.251.69.194
Address,64.62.156.25
Address,64.62.156.111
Address,45.141.56.48
Address,185.242.226.113
Address,176.65.148.92
Address,65.49.1.87
Address,93.123.109.34
Address,176.65.148.225
Address,64.62.156.229
Address,93.123.109.79
Address,65.49.1.97
Address,64.62.156.55
Address,172.94.95.192
Address,64.62.156.177
Address,125.88.174.211
Address,103.203.48.238
Address,47.236.85.230
Address,190.14.253.69
Address,190.14.253.70
Address,203.56.198.45
Address,165.22.45.149
Address,123.58.207.81
Address,147.182.157.221
Address,200.69.204.22
